Sin Pijama\Becky G\Essentials (2019)\Becky_G/Essentials/02. Sin Pijama.mp3
Lovin So Hard\Becky G\Becky G Music Collection\Becky_G/Becky G Music Collection/Lovin So Hard - [Becky G].mp3
Sola\Becky G\Essentials (2019)\Becky_G/Essentials/23. Sola.mp3
Díganle\Becky G\Essentials (2019)\Becky_G/Essentials/24. Díganle.mp3
Mal de la Cabeza\Becky G\Essentials (2019)\Becky_G/Essentials/29. Mal de la Cabeza.mp3
Lost in the Middle of Nowhere (feat. Becky G) (Spanish Remix)\Becky G\Essentials (2019)\Becky_G/Essentials/22. Lost in the Middle of Nowhere (feat. Becky G) (Spanish Remix).mp3
Shower\Becky G\Essentials (2019)\Becky_G/Essentials/17. Shower.mp3
