Reaper\Sia\This is Acting (Deluxe Edition)\Sia/This Is Acting (Deluxe Edition)/07. Reaper.mp3
House on Fire\Sia\This is Acting (Deluxe Edition)\Sia/This Is Acting (Deluxe Edition)/08. House On Fire.mp3
Broken Glass\Sia\This is Acting (Deluxe Edition)\Sia/This Is Acting (Deluxe Edition)/11. Broken Glass.mp3
Space Between\Sia\This is Acting (Deluxe Edition)\Sia/This Is Acting (Deluxe Edition)/12. Space Between.mp3
Confetti\Sia\This is Acting (Deluxe Edition)\Sia/This Is Acting (Deluxe Edition)/15. Confetti.mp3
