Come Out and Play\The Offspring\Smash\https://drive.google.com/uc?export=download&id=0Bx1nUKpWwAwLeG9HMWtZbkdzY1U
Genocide\The Offspring\Smash\https://drive.google.com/uc?export=download&id=0Bx1nUKpWwAwLX29HNFRKeGdoam8
Pretty Fly (For A White Guy)\The Offspring\Americana\https://drive.google.com/uc?export=download&id=0Bx1nUKpWwAwLNDFlSUlWUXhtRDQ
The Kids Aren't Alright\The Offspring\Americana\https://drive.google.com/uc?export=download&id=0Bx1nUKpWwAwLQ00xUUhOenRyVzA
She's Got Issues\The Offspring\Americana\https://drive.google.com/uc?export=download&id=0Bx1nUKpWwAwLY0hTZDhwTlpzNG8
Why Don't You Get A Job\The Offspring\Americana\https://drive.google.com/uc?export=download&id=0Bx1nUKpWwAwLREo0SDVSNWhyeDQ
Original Prankster (feat. Redman)\The Offspring\Conspiracy Of One\https://drive.google.com/uc?export=download&id=0Bx1nUKpWwAwLaEJYR1hBaTB5c1E
Dammit, I Changed Again\The Offspring\Conspiracy Of One\https://drive.google.com/uc?export=download&id=0Bx1nUKpWwAwLRUJweWxoSG1Oenc
Denial, Revisited\The Offspring\Conspiracy Of One\https://drive.google.com/uc?export=download&id=0Bx1nUKpWwAwLZUUwb1BkdnM2Y0E
Pretty Fly (For A White Guy)\The Offspring\Americana\https://drive.google.com/uc?export=download&id=0Bx1nUKpWwAwLNDFlSUlWUXhtRDQ
